,0,1,2,3,4,5,6,7,8,9
472,(0.01997323522979324+0j),(-0.017252167429906883+0j),(0.008123442632958099+0j),(-0.013659570205158575+0.006972068710459945j),(-0.013659570205158575-0.006972068710459945j),(-0.008833766092721195+0.006133645324478169j),(-0.008833766092721195-0.006133645324478169j),(-0.004196160420670018+0j),(-0.014382258037325754+0j),(0.014141133097165954+0j)
473,(1.1133821281003508e-07+0j),(-2.254053534599431e-07+0j),(0.0029758649100515553+0j),(0.02091373972192766-0.04323284982075984j),(0.02091373972192766+0.04323284982075984j),(0.07045988514277664-0.012827684030203552j),(0.07045988514277664+0.012827684030203552j),(-0.000449941258389837+0j),(0.008946705728687934+0j),(0.03091410727763552+0j)
474,(1.1133821279871704e-07+0j),(-2.254053533733709e-07+0j),(0.0029758649100510752+0j),(0.020913739721927595-0.043232849820759714j),(0.020913739721927595+0.043232849820759714j),(0.07045988514277676-0.012827684030203457j),(0.07045988514277676+0.012827684030203457j),(-0.00044994125839026056+0j),(0.008946705728688274+0j),(0.03091410727763511+0j)
475,(0.019973235229795314+0j),(-0.017252167429908566+0j),(0.00812344263295656+0j),(-0.013659570205160326+0.006972068710460205j),(-0.013659570205160326-0.006972068710460205j),(-0.0088337660927218+0.00613364532447864j),(-0.0088337660927218-0.00613364532447864j),(-0.0041961604206694515+0j),(-0.014382258037325454+0j),(0.014141133097164676+0j)
476,(0.01997323522979589+0j),(-0.01725216742990895+0j),(0.008123442632956617+0j),(-0.013659570205160386+0.006972068710460115j),(-0.013659570205160386-0.006972068710460115j),(-0.008833766092721854+0.0061336453244786576j),(-0.008833766092721854-0.0061336453244786576j),(-0.0041961604206694385+0j),(-0.014382258037325518+0j),(0.014141133097164589+0j)
477,0j,0j,0j,-0j,0j,-0j,0j,0j,0j,0j
478,0j,0j,0j,-0j,0j,-0j,0j,0j,0j,0j
479,(0.019973235229791914+0j),(-0.01725216742990512+0j),(0.00812344263295731+0j),(-0.013659570205160246+0.00697206871046j),(-0.013659570205160246-0.00697206871046j),(-0.008833766092722435+0.006133645324478199j),(-0.008833766092722435-0.006133645324478199j),(-0.004196160420669752+0j),(-0.014382258037325967+0j),(0.014141133097165122+0j)
480,(0.019973235229792056+0j),(-0.01725216742990519+0j),(0.008123442632957143+0j),(-0.01365957020516009+0.006972068710460045j),(-0.01365957020516009-0.006972068710460045j),(-0.008833766092722383+0.0061336453244782655j),(-0.008833766092722383-0.0061336453244782655j),(-0.004196160420669726+0j),(-0.014382258037325998+0j),(0.014141133097164995+0j)
481,(-1.3701434261013976e-08+0j),(2.8634052727927436e-08+0j),(-0.00038335180571419223+0j),(0.014296127642823314-0.002177801150272598j),(0.014296127642823314+0.002177801150272598j),(-0.007447500122419576+0.0038439709083050253j),(-0.007447500122419576-0.0038439709083050253j),(0.028981415078881887+0j),(-0.0054710259383399075+0j),(0.010024227172045338+0j)
482,(0.01997323522979633+0j),(-0.017252167429909687+0j),(0.008123442632956682+0j),(-0.013659570205160398+0.006972068710460392j),(-0.013659570205160398-0.006972068710460392j),(-0.008833766092721724+0.006133645324478816j),(-0.008833766092721724-0.006133645324478816j),(-0.004196160420669319+0j),(-0.014382258037325492+0j),(0.014141133097164856+0j)
483,0j,0j,0j,-0j,0j,-0j,0j,0j,0j,0j
484,(0.034189807897384884+0j),(-0.029701131292543852+0j),(0.012751283538320887+0j),(0.012598857956807234-0.001250177325658889j),(0.012598857956807234+0.001250177325658889j),(0.021114483755891256+5.0885188818667656e-05j),(0.021114483755891256-5.0885188818667656e-05j),(0.001752277331055703+0j),(0.024452744782669747+0j),(-0.03109496003393864+0j)
